URL,Size,Threads,KeepAlive,Real,User,System
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,58.45,0.08,0.62
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,55.92,0.10,0.22
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,56.02,0.12,0.20
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,62.91,0.13,0.21
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,58.25,0.13,0.20
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,57.98,0.12,0.21
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,58.39,0.12,0.21
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,55.34,0.14,0.19
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,54.29,0.13,0.20
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0,60.22,0.12,0.20
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,56.16,0.11,0.24
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,57.23,0.14,0.21
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,56.52,0.11,0.24
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,60.08,0.13,0.23
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,52.94,0.13,0.22
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,57.30,0.12,0.23
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,54.70,0.11,0.24
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,59.52,0.13,0.22
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,56.14,0.12,0.23
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0,58.26,0.12,0.23
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,61.05,0.12,0.64
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,57.38,0.14,0.70
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,60.31,0.15,0.66
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,54.66,0.13,0.66
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,54.01,0.15,0.63
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,58.05,0.13,0.65
http://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,0,59.02,0.16,0.62
