URL,Size,CurlMHandles,Real,User,System
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.29,0.05,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.21,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.04,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.24,0.06,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.23,0.07,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.31,0.07,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.28,0.06,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.25,0.07,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.31,0.07,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.24,0.07,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.23,0.06,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.23,0.06,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,4,0.24,0.07,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.76,0.09,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.26,0.09,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.84,0.09,0.06
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.43,0.10,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.31,0.09,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.64,0.10,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.27,0.10,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.30,0.09,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.48,0.09,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,8,0.33,0.10,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.55,0.25,0.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.49,0.25,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.37,0.24,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.40,0.26,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.83,0.25,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.37,0.25,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.44,0.25,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.38,0.26,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.36,0.25,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,32,0.40,0.25,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.31,0.07,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.07,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.36,0.07,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.31,0.06,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.35,0.07,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.06,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.31,0.06,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.66,0.07,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.07,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.38,0.06,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.32,0.09,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.66,0.09,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.78,0.09,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.48,0.10,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.40,0.09,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.42,0.09,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.40,0.08,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.38,0.09,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.33,0.10,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,4,0.32,0.09,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.34,0.12,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.36,0.11,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.68,0.12,0.10
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.50,0.12,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.50,0.11,0.10
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.38,0.11,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.34,0.11,0.10
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.52,0.12,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.69,0.11,0.10
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,8,0.42,0.12,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,0.64,0.28,0.12
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,0.99,0.27,0.13
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,0.63,0.28,0.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,0.84,0.28,0.12
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,2.03,0.27,0.13
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,1.37,0.29,0.12
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,1.06,0.28,0.12
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,0.74,0.28,0.12
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,0.59,0.27,0.14
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,32,0.57,0.29,0.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.71,0.19,0.46
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.64,0.23,0.46
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.72,0.21,0.48
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.74,0.20,0.47
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.47,0.19,0.50
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.55,0.20,0.49
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.53,0.22,0.47
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.56,0.23,0.46
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.65,0.23,0.46
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.49,0.22,0.48
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.31,0.28,0.53
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.35,0.29,0.53
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.32,0.27,0.51
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.34,0.28,0.53
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.35,0.27,0.55
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,2.71,0.26,0.57
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.32,0.24,0.55
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.35,0.27,0.51
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.32,0.25,0.57
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,4,1.33,0.26,0.54
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.36,0.29,0.58
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.34,0.29,0.62
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.34,0.29,0.61
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.35,0.31,0.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.61,0.30,0.60
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.33,0.30,0.54
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.33,0.32,0.61
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.33,0.32,0.54
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.32,0.28,0.61
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,8,1.50,0.33,0.58
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.39,0.47,0.71
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.41,0.50,0.70
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.41,0.47,0.72
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.40,0.48,0.70
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.39,0.46,0.73
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.38,0.46,0.74
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.51,0.48,0.72
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.41,0.49,0.69
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.44,0.45,0.74
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,32,1.52,0.47,0.71
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.52,0.84,2.14
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,5.94,0.86,2.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,9.53,0.88,2.17
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.54,0.85,2.13
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,9.51,0.86,2.21
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.92,0.81,2.29
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.57,0.81,2.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.70,0.80,2.25
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.53,0.85,2.18
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.53,0.84,2.24
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.61,1.05,2.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.61,1.04,2.57
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.75,1.02,2.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.67,1.03,2.68
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.70,1.06,2.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.60,1.12,2.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.58,1.05,2.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.63,0.98,2.69
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,7.02,0.98,2.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,4,8.35,1.04,2.55
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.65,1.13,2.82
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.63,1.06,2.83
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,6.49,1.17,2.73
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.73,1.10,2.84
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.28,1.08,2.81
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.84,1.15,2.76
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.63,1.16,2.81
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.64,1.18,2.84
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,7.62,1.19,2.79
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,8,6.50,1.04,2.84
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.94,1.33,3.40
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.35,1.46,3.26
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.69,1.41,3.29
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.67,1.36,3.35
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.68,1.36,3.20
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.63,1.35,3.25
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.75,1.40,3.35
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.51,1.40,3.35
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.81,1.46,3.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,32,7.67,1.36,3.38
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,17.09,1.71,4.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,21.54,1.73,4.53
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,20.41,1.63,4.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,19.44,1.67,4.54
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.45,1.61,4.58
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.75,1.71,4.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.46,1.71,4.53
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.39,1.71,4.67
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.48,1.65,4.48
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.40,1.71,4.59
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.48,2.00,5.32
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.64,2.15,5.15
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,15.21,2.08,5.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.52,2.10,5.23
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.49,2.06,5.24
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.52,2.00,5.38
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.48,2.08,5.14
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.50,1.97,5.19
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,15.30,1.99,5.26
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,4,16.56,2.08,5.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.63,2.37,5.92
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.51,2.18,5.75
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,15.02,2.31,5.81
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.56,2.34,5.74
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.51,2.34,5.63
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.50,2.23,5.69
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.50,2.30,5.70
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.52,2.18,5.78
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.58,2.29,5.69
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,8,16.53,2.24,5.76
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.65,2.69,6.72
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.68,2.64,6.72
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,15.64,2.59,6.77
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.60,2.66,6.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,17.24,2.56,6.82
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.68,2.60,6.75
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.24,2.65,6.69
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.62,2.62,6.64
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.61,2.58,6.73
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,32,16.84,2.72,6.60
