[centos@ip-172-31-42-148 data]$ ./baseline_download.sh https://s3.amazonaws.com/opendap.test/MVI_1803.MOV 10 stuff
URL,Size,Threads,Real,User,System
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.42,0.04,0.24
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.27,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.21,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.23,0.05,0.05
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.24,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.28,0.04,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.22,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.32,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1048576,1,0.21,0.05,0.04
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.07,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.30,0.07,0.07
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.31,0.06,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.33,0.06,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.38,0.06,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.36,0.06,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.34,0.06,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.31,0.05,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.39,0.07,0.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,10485760,1,0.31,0.06,0.09
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.86,0.20,0.48
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.46,0.22,0.48
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.55,0.21,0.47
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.49,0.21,0.47
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.50,0.21,0.51
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.50,0.20,0.47
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.47,0.19,0.48
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.48,0.21,0.45
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.55,0.22,0.45
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,104857600,1,1.50,0.22,0.46
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.73,0.86,2.11
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,7.13,0.81,2.20
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.76,0.85,2.26
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.51,0.87,2.22
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,9.43,0.91,2.16
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,9.81,0.79,2.20
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.52,0.82,2.21
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,9.53,0.85,2.20
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.51,0.92,2.31
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,524288000,1,8.58,0.90,2.21
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,20.56,1.74,4.39
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,20.34,1.61,4.46
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,20.74,1.67,4.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.83,1.83,4.49
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.46,1.66,4.52
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.42,1.71,4.64
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,20.28,1.71,4.37
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,19.27,1.70,4.61
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.77,1.64,4.63
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,1073748824,1,18.45,1.59,4.51
