URL,Real,User,System
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,17.19,2.64,4.10
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,19.50,2.57,4.56
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.91,2.72,4.44
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.60,2.64,4.57
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.67,2.89,4.08
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,17.17,2.81,4.49
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.59,2.68,4.19
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.61,2.83,4.47
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.63,2.43,4.35
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.76,2.59,4.17
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.59,2.62,4.75
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.73,2.62,4.47
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,17.11,2.64,4.13
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.60,2.66,4.30
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.67,2.56,4.33
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.65,2.63,4.57
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.59,2.60,4.26
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,16.62,2.73,4.41
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,19.50,2.69,4.16
https://s3.amazonaws.com/opendap.test/MVI_1803.MOV,18.55,2.61,3.88
