 1  113.9274  8056  805622  666091  -117004  -592396KOH
 2    1.3450  2293  934919  235619  -546407   791008KQO
 3  218.2033  4919  453360  455817  -978071   655057HHM
 4  329.6784  4533  696829  449820   598492  -982162RVP
 5  540.3923  6069  816019  693180  -861112  -261105SXT
 6  457.7693  6829  473510  144457   637211  -483371ZOG
 7  926.3496  8160  406441  312670   279669   424982SBA
 8  342.2354  1947  836274   59412  -481539   912223EWF
 9  234.6754  3510  315414   15277  -288134  -402819WZK
10  865.7537  4064  545401  775594   539803    77443IRV
11  675.6734  4183  297922  128853   780452   305912IXD
12   76.5243  6274  273534  975928   524233  -392931RFG
13  132.2344  3154  759065  374519  -309412  -547899OEG
14  765.6542  1454  153494  753625   543317   773316CYB
15   21.3457  5401  487849  232471   520209  -614826GJY
16  654.3564  2979   51519  123040  -615147   639779EVG
17    7.1314  2227  309907  949143   271589  -334657DFB
18    3.1415  3534  133062  201449  -122162   -54540ELM
19  999.9999  7590  345568  114883   702862   256625ZAN
20    0.0097  6515  985702  416570   533242  -604789MKV
21  324.8761  3494  744487  108326  -241227   318098SBF
22   87.2346  4878  687125  125730   997514  -511352NIM
23    2.7182  4905  559117  243023   966212   889212YZJ
24  354.8769  1519  979094  979919   -10295  -428757RTS
25  135.7614  3099  243644  612274  -567394  -568856LJN
26  888.8888   713  441247  359008   552107   868414OON
27  134.2523  3062  270742  978351   139713  -531950JPN
28  333.3365  3455  957988  327140  -247780  -782166UPM
29  887.3245  6898  356723  649055  -927804  -843059WUP
30  309.7700  5702  420148  807146  -944619   941395OKL
31  103.0977  7444   77691  699992  -292479    54853IVB
32  436.4564  8768  934355  873664   368435   960835HZL
33  546.7856  7125  452981  779904   613827  -554763DAZ
34   63.3285  5591  747591  583746   -67834  -777080JGZ
35  876.8712  1797  329910  966902   704987   936417PZR
36   13.1398  9094  945616  253162   418136   357451WEK
37  265.4098  2436   20445  251061   836580   781028DOX
38  320.4985  4444  116007  432499  -911654   302270PEY
39   10.5439  1247  686946   57621  -551572   252250TQR
40  106.5432  2707  792755  560448    71135    57374XCY
41  453.6209  4295  510472  765780     -194   870424BUG
42   32.5855  7988  563469  358908   814287  -807271WIR
43  328.7234  3567  246727  622103  -434065  -504989SOJ
44  384.6553  2342  392353  549293   667060   990223VGP
45   23.1765   148  491190  561199  -538311   222233BLP
46  165.2323   776   12368  266044   -65545  -740999ZDP
47  443.1323  9193  750508   50676  -759123  -289285JPP
48   65.7242  4355  788922  394008  -912675  -382652MTO
49  768.5243  4529   52664  137255   187553   795187WMX
50  431.2352  8174  566407  190329   -28060  -405083CSO
60   24.3534  7591  487517  601386   231769   230078IYX
70  653.2938  3299  774453  850776  -687830   293832YYD
80   63.9765  1094  934112  932505  -392525   825741WRC
90  474.3674  5616  851466  944535  -334196  -403489FMW
99  875.4324   204  715920   53382   600994  -188440PJJ
