 1920     1       26       11       26    49.79
 1978     7       25        1       36    14.89
 1999    11       19       14        4     4.78
 1923    10       21       17       15    11.88
 1993    10       25       19       13     3.84
 1929     1       12        4       19    36.80
 1905     5       10       22       21     9.44
 1907     4       10       22       28    57.73
 1980     1       13       16       30    21.52
 1990    11        6       13       44    13.81
 1905     2       24       14       55    45.56
 1918     6       27       15       19     5.03
 1950     7       29       22        3    16.95
 1996     6       27       18       36     7.46
 1968     9       29        7       12    18.36
 1924     2       28        7       52    28.14
 1979     8        5        8       51    28.54
 1929     5       20        3       28     2.09
 1993     9       18       12       50    42.15
 1932     6       16        3       28    19.46
